Model,Make,Model,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel,City rate,Hwy rate,Combined rate,premium_mpg,CO2 Emissions
2021,Chevrolet,Silverado 4WD Trail Boss (Without Stop-Start),Pickup truck: Standard,5.3,8,A10,X,59,43,52,21,514
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,Z,56,42,50,22,490
2021,Chevrolet,Silverado 4WD (Without Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,59,44,52,20,518
2021,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,6.2,8,A10,Z,59,47,54,20,531
2021,Chevrolet,Silverado 4WD Trail Boss (Without Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,64,48,57,19,563
2021,Chevrolet,Spark,Subcompact,1.4,4,AV,X,29,23,26,40,264
2021,Chevrolet,Spark,Subcompact,1.4,4,M5,X,30,23,27,39,272
2021,Chevrolet,Suburban,SUV: Standard,3,6,A10,D,43,33,38,28,435
2021,Chevrolet,Suburban,SUV: Standard,5.3,8,A10,X,54,45,50,21,494
2021,Chevrolet,Suburban (Without Stop-Start),SUV: Standard,5.3,8,A10,X,58,45,52,20,520
2021,Chevrolet,Suburban 4WD,SUV: Standard,3,6,A10,D,45,34,40,27,443
2021,Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A10,X,58,47,53,20,525
2021,Chevrolet,Suburban 4WD (Without Stop-Start),SUV: Standard,5.3,8,A10,X,61,48,55,19,546
2021,Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,Z,64,47,56,19,555
2021,Chevrolet,Suburban 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,Z,66,48,58,18,571
2021,Chevrolet,Tahoe,SUV: Standard,3,6,A10,D,42,32,37,29,421
2021,Chevrolet,Tahoe,SUV: Standard,5.3,8,A10,X,54,45,50,21,494
2021,Chevrolet,Tahoe (Without Stop-Start),SUV: Standard,5.3,8,A10,X,58,45,52,20,520
2021,Chevrolet,Tahoe 4WD,SUV: Standard,3,6,A10,D,45,34,40,27,443
2021,Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A10,X,56,45,51,21,507
2021,Chevrolet,Tahoe 4WD (Without Stop-Start),SUV: Standard,5.3,8,A10,X,59,45,53,20,523
2021,Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,Z,64,47,56,19,555
2021,Chevrolet,Tahoe 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,Z,66,48,58,18,571
2021,Chevrolet,Trailblazer,SUV: Small,1.2,3,AV,X,32,28,30,35,301
2021,Chevrolet,Trailblazer,SUV: Small,1.3,3,AV,X,30,27,29,37,286
2021,Chevrolet,Trailblazer AWD,SUV: Small,1.3,3,A9,X,34,30,32,34,314
2021,Chevrolet,Traverse,SUV: Standard,3.6,6,A9,X,49,33,42,25,418
2021,Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,X,51,36,45,24,443
2021,Chevrolet,Trax,SUV: Small,1.4,4,AS6,X,34,29,32,34,314
2021,Chevrolet,Trax (SIDI),SUV: Small,1.4,4,AS6,X,37,28,33,33,325
2021,Chevrolet,Trax 4WD,SUV: Small,1.4,4,AS6,X,38,30,34,31,342
2021,Chevrolet,Trax 4WD (SIDI),SUV: Small,1.4,4,AS6,X,39,29,34,31,342
2021,Chrysler,300,Full-size,3.6,6,A8,X,47,30,39,27,387
2021,Chrysler,300,Full-size,5.7,8,A8,X,56,36,47,23,462
2021,Chrysler,300 AWD,Full-size,3.6,6,A8,X,48,33,42,26,413
2021,Chrysler,Grand Caravan,Minivan,3.6,6,A9,X,47,32,40,27,398
2021,Chrysler,Pacifica,Minivan,3.6,6,A9,X,47,32,40,27,398
2021,Chrysler,Pacifica AWD,Minivan,3.6,6,A9,X,53,36,45,24,446
2021,Dodge,Challenger,Mid-size,3.6,6,A8,X,47,30,39,27,387
2021,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,56,36,47,23,462
2021,Dodge,Challenger,Mid-size,5.7,8,M6,Z,59,38,50,22,491
2021,Dodge,Challenger (MDS),Mid-size,6.4,8,A8,Z,60,36,50,22,490
2021,Dodge,Challenger,Mid-size,6.4,8,M6,Z,63,39,53,20,520
2021,Dodge,Challenger AWD,Mid-size,3.6,6,A8,X,48,33,42,26,413
2021,Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,A8,Z,60,36,50,22,490
2021,Dodge,Challenger Widebody,Mid-size,6.4,8,M6,Z,63,39,53,20,520
2021,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,Z,67,40,55,19,542
2021,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,M6,Z,69,43,57,19,563
2021,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,A8,Z,70,43,58,18,574
2021,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,Z,69,43,57,19,563
2021,Dodge,Charger,Full-size,3.6,6,A8,X,47,30,39,27,387
2021,Dodge,Charger (MDS),Full-size,5.7,8,A8,X,56,36,47,23,462
2021,Dodge,Charger (MDS),Full-size,6.4,8,A8,Z,60,36,50,22,490
2021,Dodge,Charger AWD,Full-size,3.6,6,A8,X,48,33,42,26,413
2021,Dodge,Charger Widebody (MDS),Full-size,6.4,8,A8,Z,60,36,50,22,490
2021,Dodge,Charger SRT Hellcat Widebody,Full-size,6.2,8,A8,Z,72,44,59,18,589
2021,Dodge,Durango AWD,SUV: Standard,3.6,6,A8,X,48,36,43,25,424
2021,Dodge,Durango AWD,SUV: Standard,5.7,8,A8,X,63,41,53,20,530
2021,Dodge,Durango AWD SRT,SUV: Standard,6.4,8,A8,Z,69,46,59,18,581
2021,Dodge,Durango AWD SRT Hellcat,SUV: Standard,6.2,8,A8,Z,78,52,66,16,656
2021,FIAT,500X AWD,SUV: Small,1.3,4,A9,X,38,30,34,31,354
2021,Ford,Bronco 4WD,SUV: Small,2.3,4,AS10,X,44,40,42,25,422
2021,Ford,Bronco 4WD,SUV: Small,2.3,4,M7,X,44,41,43,25,424
2021,Ford,Bronco 4WD,SUV: Small,2.7,6,AS10,X,48,44,46,23,459
2021,Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,AS10,X,51,52,51,21,509
2021,Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,M7,X,56,50,53,20,528
2021,Ford,Bronco Badlands 4WD,SUV: Small,2.7,6,AS10,X,52,50,51,21,504
2021,Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,AS10,X,50,50,50,22,493
2021,Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,M7,X,52,47,50,21,496
2021,Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,AS10,X,50,50,50,22,493
